Membership No  Date Joined  Active  
    25149      2017-12-16   no    
    13850      2018-7-6     yes   
    42190      2015-6-24    no    
    27335      2017-3-12    yes   
    84692      2020-8-24    yes   
    34805      2015-7-14    yes   
    49333      2017-9-4     yes   
    93195      2016-4-12    yes   
    88391      2017-3-13    yes   
    75188      2018-12-4    no    
    62728      2016-2-22    yes   
    49853      2015-3-24    no    
    13288      2018-8-18    yes   
    44155      2019-4-25    yes   
    66537      2018-12-19   yes   
    41647      2019-9-8     no    
    49497      2019-5-21    yes   
    69662      2018-3-4     yes   
    99051      2018-1-14    no    
    22697      2017-3-6     no    
