Membership No  Date Joined  Active  
    64126      2020-2-10    no    
    59911      2019-6-10    yes   
    21854      2019-6-19    yes   
    17437      2020-11-5    no    
    70043      2015-2-2     yes   
    15628      2018-12-22   yes   
    28238      2020-7-5     no    
    42023      2017-7-11    no    
    22775      2016-1-19    no    
    74543      2017-11-10   no    
    33740      2018-12-11   no    
    81239      2020-11-2    yes   
    56189      2017-5-5     yes   
    85504      2018-10-15   no    
    69112      2020-11-21   no    
    45775      2016-8-2     no    
    40406      2016-1-6     yes   
    55461      2017-7-16    yes   
    74110      2016-11-10   yes   
    65891      2019-11-21   no    
